species_id,entry_number_1,pokedex_name_1,entry_number_2,pokedex_name_2,entry_number_3,pokedex_name_3,entry_number_4,pokedex_name_4,entry_number_5,pokedex_name_5,entry_number_6,pokedex_name_6,entry_number_7,pokedex_name_7,entry_number_8,pokedex_name_8,entry_number_9,pokedex_name_9,entry_number_10,pokedex_name_10,entry_number_11,pokedex_name_11,entry_number_12,pokedex_name_12,entry_number_13,pokedex_name_13,entry_number_14,pokedex_name_14,entry_number_15,pokedex_name_15,entry_number_16,pokedex_name_16,entry_number_17,pokedex_name_17,entry_number_18,pokedex_name_18,entry_number_19,pokedex_name_19,entry_number_20,pokedex_name_20,entry_number_21,pokedex_name_21,entry_number_22,pokedex_name_22,entry_number_23,pokedex_name_23,entry_number_24,pokedex_name_24,entry_number_25,pokedex_name_25,entry_number_26,pokedex_name_26,entry_number_27,pokedex_name_27
1,1,national,1,kanto,1,letsgo-kanto,68,isle-of-armor,80,kalos-central,164,blueberry,226,original-johto,231,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,national,2,kanto,2,letsgo-kanto,69,isle-of-armor,81,kalos-central,165,blueberry,227,original-johto,232,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,3,national,3,kanto,3,letsgo-kanto,70,isle-of-armor,82,kalos-central,166,blueberry,228,original-johto,233,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,4,national,4,kanto,4,letsgo-kanto,83,kalos-central,109,conquest-gallery,167,blueberry,229,original-johto,234,updated-johto,378,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,5,national,5,kanto,5,letsgo-kanto,84,kalos-central,110,conquest-gallery,168,blueberry,230,original-johto,235,updated-johto,379,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,6,letsgo-kanto,6,national,6,kanto,85,kalos-central,111,conquest-gallery,169,blueberry,231,original-johto,236,updated-johto,380,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,7,letsgo-kanto,7,national,7,kanto,71,isle-of-armor,86,kalos-central,170,blueberry,232,original-johto,237,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,8,national,8,kanto,8,letsgo-kanto,72,isle-of-armor,87,kalos-central,171,blueberry,233,original-johto,238,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,9,national,9,kanto,9,letsgo-kanto,73,isle-of-armor,88,kalos-central,172,blueberry,234,original-johto,239,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,8,updated-akala,8,original-akala,10,letsgo-kanto,10,national,10,kanto,13,galar,17,original-alola,17,original-melemele,17,updated-alola,17,updated-melemele,23,kalos-central,24,original-johto,24,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,9,original-akala,9,updated-akala,11,letsgo-kanto,11,national,11,kanto,14,galar,18,updated-alola,18,updated-melemele,18,original-alola,18,original-melemele,24,kalos-central,25,original-johto,25,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,10,original-akala,10,updated-akala,12,letsgo-kanto,12,national,12,kanto,15,galar,19,updated-alola,19,updated-melemele,19,original-alola,19,original-melemele,25,kalos-central,26,original-johto,26,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,13,national,13,kanto,13,letsgo-kanto,26,kalos-central,27,original-johto,27,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,14,national,14,kanto,14,letsgo-kanto,27,kalos-central,28,original-johto,28,updated-johto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,15,national,15,kanto,15,letsgo-kanto,28,kalos-central,29,original-johto,29,updated-johto,177,conquest-gallery,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
