species_id,entry_number,pokedex_name
1,1,national
1,1,kanto
1,226,original-johto
1,231,updated-johto
1,80,kalos-central
1,1,letsgo-kanto
1,68,isle-of-armor
1,164,blueberry
2,2,national
2,2,kanto
2,227,original-johto
2,232,updated-johto
2,81,kalos-central
2,2,letsgo-kanto
2,69,isle-of-armor
2,165,blueberry
3,3,national
3,3,kanto
3,228,original-johto
3,233,updated-johto
3,82,kalos-central
3,3,letsgo-kanto
3,70,isle-of-armor
3,166,blueberry
4,4,national
4,4,kanto
4,229,original-johto
4,234,updated-johto
4,109,conquest-gallery
4,83,kalos-central
4,4,letsgo-kanto
4,378,galar
4,167,blueberry
5,5,national
5,5,kanto
5,230,original-johto
5,235,updated-johto
5,110,conquest-gallery
5,84,kalos-central
5,5,letsgo-kanto
5,379,galar
5,168,blueberry
6,6,national
6,6,kanto
6,231,original-johto
6,236,updated-johto
6,111,conquest-gallery
6,85,kalos-central
6,6,letsgo-kanto
6,380,galar
6,169,blueberry
7,7,national
7,7,kanto
7,232,original-johto
7,237,updated-johto
7,86,kalos-central
7,7,letsgo-kanto
7,71,isle-of-armor
7,170,blueberry
8,8,national
8,8,kanto
8,233,original-johto
8,238,updated-johto
8,87,kalos-central
8,8,letsgo-kanto
8,72,isle-of-armor
8,171,blueberry
9,9,national
9,9,kanto
9,234,original-johto
9,239,updated-johto
9,88,kalos-central
9,9,letsgo-kanto
9,73,isle-of-armor
9,172,blueberry
10,10,national
10,10,kanto
10,24,original-johto
10,24,updated-johto
10,23,kalos-central
10,17,original-alola
10,17,original-melemele
10,8,original-akala
10,17,updated-alola
10,17,updated-melemele
10,8,updated-akala
10,10,letsgo-kanto
10,13,galar
11,11,national
11,11,kanto
11,25,original-johto
11,25,updated-johto
11,24,kalos-central
11,18,original-alola
11,18,original-melemele
11,9,original-akala
11,18,updated-alola
11,18,updated-melemele
11,9,updated-akala
11,11,letsgo-kanto
11,14,galar
12,12,national
12,12,kanto
12,26,original-johto
12,26,updated-johto
12,25,kalos-central
12,19,original-alola
12,19,original-melemele
12,10,original-akala
12,19,updated-alola
12,19,updated-melemele
12,10,updated-akala
12,12,letsgo-kanto
12,15,galar
13,13,national
13,13,kanto
13,27,original-johto
13,27,updated-johto
13,26,kalos-central
13,13,letsgo-kanto
14,14,national
14,14,kanto
14,28,original-johto
14,28,updated-johto
14,27,kalos-central
14,14,letsgo-kanto
15,15,national
15,15,kanto
15,29,original-johto
15,29,updated-johto
15,177,conquest-gallery
15,28,kalos-central
15,15,letsgo-kanto
16,16,national
16,16,kanto
16,10,original-johto
16,10,updated-johto
16,17,kalos-central
16,16,letsgo-kanto
17,17,national
17,17,kanto
17,11,original-johto
17,11,updated-johto
17,18,kalos-central
17,17,letsgo-kanto
18,18,national
18,18,kanto
18,12,original-johto
18,12,updated-johto
18,19,kalos-central
18,18,letsgo-kanto
19,19,national
19,19,kanto
19,17,original-johto
19,17,updated-johto
19,59,updated-unova
19,15,original-alola
19,15,original-melemele
19,6,original-akala
19,6,original-ulaula
19,6,original-poni
19,15,updated-alola
19,15,updated-melemele
19,6,updated-akala
19,6,updated-ulaula
19,6,updated-poni
19,19,letsgo-kanto
20,20,national
20,20,kanto
20,18,original-johto
20,18,updated-johto
20,60,updated-unova
20,16,original-alola
20,16,original-melemele
20,7,original-akala
20,7,original-ulaula
20,7,original-poni
20,16,updated-alola
20,16,updated-melemele
20,7,updated-akala
20,7,updated-ulaula
20,7,updated-poni
20,20,letsgo-kanto
21,21,national
21,21,kanto
21,13,original-johto
21,13,updated-johto
21,109,kalos-mountain
21,73,original-alola
21,73,original-melemele
21,40,original-ulaula
21,24,original-poni
21,87,updated-alola
21,87,updated-melemele
21,40,updated-ulaula
21,33,updated-poni
21,21,letsgo-kanto
22,22,national
22,22,kanto
22,14,original-johto
22,14,updated-johto
22,110,kalos-mountain
22,74,original-alola
22,74,original-melemele
22,41,original-ulaula
22,25,original-poni
22,88,updated-alola
22,88,updated-melemele
22,41,updated-ulaula
22,34,updated-poni
22,22,letsgo-kanto
23,23,national
23,23,kanto
23,50,original-johto
23,50,updated-johto
23,54,conquest-gallery
23,37,kalos-mountain
23,61,updated-alola
23,61,updated-melemele
23,23,letsgo-kanto
23,18,kitakami
24,24,national
24,24,kanto
24,51,original-johto
24,51,updated-johto
24,55,conquest-gallery
24,38,kalos-mountain
24,62,updated-alola
24,62,updated-melemele
24,24,letsgo-kanto
24,19,kitakami
25,25,national
25,25,kanto
25,22,original-johto
25,156,hoenn
25,104,original-sinnoh
25,104,extended-sinnoh
25,22,updated-johto
25,16,conquest-gallery
25,36,kalos-central
25,163,updated-hoenn
25,25,original-alola
25,25,original-melemele
25,32,updated-alola
25,32,updated-melemele
25,25,letsgo-kanto
25,194,galar
25,85,isle-of-armor
25,56,hisui
25,74,paldea
25,21,kitakami
26,26,national
26,26,kanto
26,23,original-johto
26,157,hoenn
26,105,original-sinnoh
26,105,extended-sinnoh
26,23,updated-johto
26,17,conquest-gallery
26,37,kalos-central
26,164,updated-hoenn
26,26,original-alola
26,26,original-melemele
26,33,updated-alola
26,33,updated-melemele
26,26,letsgo-kanto
26,195,galar
26,86,isle-of-armor
26,57,hisui
26,75,paldea
26,22,kitakami
27,27,national
27,27,kanto
27,48,original-johto
27,112,hoenn
27,48,updated-johto
27,113,updated-unova
27,97,kalos-mountain
27,117,updated-hoenn
27,251,original-alola
27,123,original-ulaula
27,328,updated-alola
27,149,updated-ulaula
27,27,letsgo-kanto
27,168,isle-of-armor
27,116,kitakami
27,155,blueberry
28,28,national
28,28,kanto
28,49,original-johto
28,113,hoenn
28,49,updated-johto
28,114,updated-unova
28,98,kalos-mountain
28,118,updated-hoenn
28,252,original-alola
28,124,original-ulaula
28,329,updated-alola
28,150,updated-ulaula
28,28,letsgo-kanto
28,169,isle-of-armor
28,117,kitakami
28,156,blueberry
29,29,national
29,29,kanto
29,95,original-johto
29,95,updated-johto
29,104,kalos-coastal
29,29,letsgo-kanto
29,65,crown-tundra
30,30,national
30,30,kanto
30,96,original-johto
30,96,updated-johto
30,105,kalos-coastal
30,30,letsgo-kanto
30,66,crown-tundra
31,31,national
31,31,kanto
31,97,original-johto
31,97,updated-johto
31,106,kalos-coastal
31,31,letsgo-kanto
31,67,crown-tundra
32,32,national
32,32,kanto
32,98,original-johto
32,98,updated-johto
32,107,kalos-coastal
32,32,letsgo-kanto
32,68,crown-tundra
33,33,national
33,33,kanto
33,99,original-johto
33,99,updated-johto
33,108,kalos-coastal
33,33,letsgo-kanto
33,69,crown-tundra
34,34,national
34,34,kanto
34,100,original-johto
34,100,updated-johto
34,109,kalos-coastal
34,34,letsgo-kanto
34,70,crown-tundra
35,35,national
35,35,kanto
35,41,original-johto
35,100,original-sinnoh
35,100,extended-sinnoh
35,41,updated-johto
35,89,updated-unova
35,211,original-alola
35,83,original-ulaula
35,273,updated-alola
35,94,updated-ulaula
35,35,letsgo-kanto
35,255,galar
35,44,crown-tundra
35,200,hisui
35,152,kitakami
36,36,national
36,36,kanto
36,42,original-johto
36,101,original-sinnoh
36,101,extended-sinnoh
36,42,updated-johto
36,90,updated-unova
36,212,original-alola
36,84,original-ulaula
36,274,updated-alola
36,95,updated-ulaula
36,36,letsgo-kanto
36,256,galar
36,45,crown-tundra
36,201,hisui
36,153,kitakami
37,37,national
37,37,kanto
37,125,original-johto
37,153,hoenn
37,127,updated-johto
37,248,updated-unova
37,160,updated-hoenn
37,253,original-alola
37,125,original-ulaula
37,330,updated-alola
37,151,updated-ulaula
37,37,letsgo-kanto
37,68,galar
37,168,hisui
37,37,kitakami
37,157,blueberry
38,38,national
38,38,kanto
38,126,original-johto
38,154,hoenn
38,128,updated-johto
38,249,updated-unova
38,161,updated-hoenn
38,254,original-alola
38,126,original-ulaula
38,331,updated-alola
38,152,updated-ulaula
38,38,letsgo-kanto
38,69,galar
38,169,hisui
38,38,kitakami
38,158,blueberry
39,39,national
39,39,kanto
39,44,original-johto
39,138,hoenn
39,44,updated-johto
39,282,updated-unova
39,21,conquest-gallery
39,120,kalos-mountain
39,143,updated-hoenn
39,135,original-alola
39,62,original-akala
39,168,updated-alola
39,69,updated-akala
39,39,letsgo-kanto
39,12,isle-of-armor
39,60,paldea
40,40,national
40,40,kanto
40,45,original-johto
40,139,hoenn
40,45,updated-johto
40,283,updated-unova
40,22,conquest-gallery
40,121,kalos-mountain
40,144,updated-hoenn
40,136,original-alola
40,63,original-akala
40,169,updated-alola
40,70,updated-akala
40,40,letsgo-kanto
40,13,isle-of-armor
40,61,paldea
41,41,national
41,41,kanto
41,37,original-johto
41,63,hoenn
41,28,original-sinnoh
41,28,extended-sinnoh
41,37,updated-johto
41,61,updated-unova
41,23,conquest-gallery
41,145,kalos-central
41,65,updated-hoenn
41,68,original-alola
41,68,original-melemele
41,26,original-akala
41,35,original-ulaula
41,19,original-poni
41,80,updated-alola
41,80,updated-melemele
41,26,updated-akala
41,35,updated-ulaula
41,26,updated-poni
41,41,letsgo-kanto
41,144,crown-tundra
41,34,hisui
42,42,national
42,42,kanto
42,38,original-johto
42,64,hoenn
42,29,original-sinnoh
42,29,extended-sinnoh
42,38,updated-johto
42,62,updated-unova
42,24,conquest-gallery
42,146,kalos-central
42,66,updated-hoenn
42,69,original-alola
42,69,original-melemele
42,27,original-akala
42,36,original-ulaula
42,20,original-poni
42,81,updated-alola
42,81,updated-melemele
42,27,updated-akala
42,36,updated-ulaula
42,27,updated-poni
42,42,letsgo-kanto
42,145,crown-tundra
42,35,hisui
43,43,national
43,43,kanto
43,83,original-johto
43,88,hoenn
43,83,updated-johto
43,105,kalos-central
43,91,updated-hoenn
43,43,letsgo-kanto
43,55,galar
43,62,blueberry
44,44,national
44,44,kanto
44,84,original-johto
44,89,hoenn
44,84,updated-johto
44,106,kalos-central
44,92,updated-hoenn
44,44,letsgo-kanto
44,56,galar
44,63,blueberry
45,45,national
45,45,kanto
45,85,original-johto
45,90,hoenn
45,85,updated-johto
45,107,kalos-central
45,93,updated-hoenn
45,45,letsgo-kanto
45,57,galar
45,64,blueberry
46,46,national
46,46,kanto
46,70,original-johto
46,70,updated-johto
46,147,original-alola
46,74,original-akala
46,66,original-ulaula
46,180,updated-alola
46,81,updated-akala
46,72,updated-ulaula
46,46,letsgo-kanto
46,53,hisui
47,47,national
47,47,kanto
47,71,original-johto
47,71,updated-johto
47,148,original-alola
47,75,original-akala
47,67,original-ulaula
47,181,updated-alola
47,82,updated-akala
47,73,updated-ulaula
47,47,letsgo-kanto
47,54,hisui
48,48,national
48,48,kanto
48,108,original-johto
48,109,updated-johto
48,48,letsgo-kanto
48,256,paldea
48,8,blueberry
49,49,national
49,49,kanto
49,109,original-johto
49,110,updated-johto
49,49,letsgo-kanto
49,257,paldea
49,9,blueberry
50,50,national
50,50,kanto
50,132,original-johto
50,134,updated-johto
50,1,kalos-mountain
50,71,original-alola
50,71,original-melemele
50,29,original-akala
50,38,original-ulaula
50,22,original-poni
50,85,updated-alola
50,85,updated-melemele
50,29,updated-akala
50,38,updated-ulaula
50,31,updated-poni
50,50,letsgo-kanto
50,164,galar
50,148,paldea
50,66,blueberry
51,51,national
51,51,kanto
51,133,original-johto
51,135,updated-johto
51,2,kalos-mountain
51,72,original-alola
51,72,original-melemele
51,30,original-akala
51,39,original-ulaula
51,23,original-poni
51,86,updated-alola
51,86,updated-melemele
51,30,updated-akala
51,39,updated-ulaula
51,32,updated-poni
51,51,letsgo-kanto
51,165,galar
51,149,paldea
51,67,blueberry
52,52,national
52,52,kanto
52,136,original-johto
52,138,updated-johto
52,58,conquest-gallery
52,45,original-alola
52,45,original-melemele
52,23,original-ulaula
52,52,updated-alola
52,52,updated-melemele
52,23,updated-ulaula
52,52,letsgo-kanto
52,182,galar
52,141,paldea
53,53,national
53,53,kanto
53,137,original-johto
53,139,updated-johto
53,59,conquest-gallery
53,46,original-alola
53,46,original-melemele
53,24,original-ulaula
53,53,updated-alola
53,53,updated-melemele
53,24,updated-ulaula
53,53,letsgo-kanto
53,184,galar
53,142,paldea
54,54,national
54,54,kanto
54,138,original-johto
54,158,hoenn
54,43,original-sinnoh
54,43,extended-sinnoh
54,140,updated-johto
54,28,updated-unova
54,59,kalos-central
54,165,updated-hoenn
54,89,original-alola
54,89,original-melemele
54,32,original-akala
54,49,original-ulaula
54,39,original-poni
54,107,updated-alola
54,107,updated-melemele
54,32,updated-akala
54,52,updated-ulaula
54,51,updated-poni
54,54,letsgo-kanto
54,146,isle-of-armor
54,68,hisui
54,55,paldea
55,55,national
55,55,kanto
55,139,original-johto
55,159,hoenn
55,44,original-sinnoh
55,44,extended-sinnoh
55,141,updated-johto
55,29,updated-unova
55,60,kalos-central
55,166,updated-hoenn
55,90,original-alola
55,90,original-melemele
55,33,original-akala
55,50,original-ulaula
55,40,original-poni
55,108,updated-alola
55,108,updated-melemele
55,33,updated-akala
55,53,updated-ulaula
55,52,updated-poni
55,55,letsgo-kanto
55,147,isle-of-armor
55,69,hisui
55,56,paldea
56,56,national
56,56,kanto
56,134,original-johto
56,136,updated-johto
56,79,original-alola
56,79,original-melemele
56,30,original-poni
56,93,updated-alola
56,93,updated-melemele
56,39,updated-poni
56,56,letsgo-kanto
56,158,paldea
56,99,kitakami
57,57,national
57,57,kanto
57,135,original-johto
57,137,updated-johto
57,80,original-alola
57,80,original-melemele
57,31,original-poni
57,94,updated-alola
57,94,updated-melemele
57,40,updated-poni
57,57,letsgo-kanto
57,159,paldea
57,100,kitakami
58,58,national
58,58,kanto
58,127,original-johto
58,129,updated-johto
58,51,updated-unova
58,52,original-alola
58,52,original-melemele
58,64,updated-alola
58,64,updated-melemele
58,58,letsgo-kanto
58,70,galar
58,150,hisui
58,213,paldea
58,78,kitakami
59,59,national
59,59,kanto
59,128,original-johto
59,130,updated-johto
59,52,updated-unova
59,53,original-alola
59,53,original-melemele
59,65,updated-alola
59,65,updated-melemele
59,59,letsgo-kanto
59,71,galar
59,151,hisui
59,214,paldea
59,79,kitakami
60,60,national
60,60,kanto
60,72,original-johto
60,72,updated-johto
60,33,kalos-mountain
60,149,original-alola
60,76,original-akala
60,68,original-ulaula
60,182,updated-alola
60,83,updated-akala
60,74,updated-ulaula
60,60,letsgo-kanto
60,142,isle-of-armor
60,39,kitakami
61,61,national
61,61,kanto
61,73,original-johto
61,73,updated-johto
61,34,kalos-mountain
61,150,original-alola
61,77,original-akala
61,69,original-ulaula
61,183,updated-alola
61,84,updated-akala
61,75,updated-ulaula
61,61,letsgo-kanto
61,143,isle-of-armor
61,40,kitakami
62,62,national
62,62,kanto
62,74,original-johto
62,74,updated-johto
62,35,kalos-mountain
62,151,original-alola
62,78,original-akala
62,70,original-ulaula
62,184,updated-alola
62,85,updated-akala
62,76,updated-ulaula
62,62,letsgo-kanto
62,144,isle-of-armor
62,41,kitakami
63,63,national
63,63,kanto
63,89,original-johto
63,39,hoenn
63,20,original-sinnoh
63,20,extended-sinnoh
