id,name,order,gender_rate,capture_rate,base_happiness,is_baby,is_legendary,is_mythical,hatch_counter,has_gender_differences,forms_switchable,color,shape,evolves_from_species,evolution_chain_url,habitat,generation
1,bulbasaur,1,1,45,50.0,False,False,False,20.0,False,False,green,quadruped,,https://pokeapi.co/api/v2/evolution-chain/1/,grassland,generation-i
2,ivysaur,2,1,45,50.0,False,False,False,20.0,False,False,green,quadruped,bulbasaur,https://pokeapi.co/api/v2/evolution-chain/1/,grassland,generation-i
3,venusaur,3,1,45,50.0,False,False,False,20.0,True,True,green,quadruped,ivysaur,https://pokeapi.co/api/v2/evolution-chain/1/,grassland,generation-i
4,charmander,4,1,45,50.0,False,False,False,20.0,False,False,red,upright,,https://pokeapi.co/api/v2/evolution-chain/2/,mountain,generation-i
5,charmeleon,5,1,45,50.0,False,False,False,20.0,False,False,red,upright,charmander,https://pokeapi.co/api/v2/evolution-chain/2/,mountain,generation-i
6,charizard,6,1,45,50.0,False,False,False,20.0,False,True,red,upright,charmeleon,https://pokeapi.co/api/v2/evolution-chain/2/,mountain,generation-i
7,squirtle,7,1,45,50.0,False,False,False,20.0,False,False,blue,upright,,https://pokeapi.co/api/v2/evolution-chain/3/,waters-edge,generation-i
8,wartortle,8,1,45,50.0,False,False,False,20.0,False,False,blue,upright,squirtle,https://pokeapi.co/api/v2/evolution-chain/3/,waters-edge,generation-i
9,blastoise,9,1,45,50.0,False,False,False,20.0,False,True,blue,upright,wartortle,https://pokeapi.co/api/v2/evolution-chain/3/,waters-edge,generation-i
10,caterpie,10,4,255,50.0,False,False,False,15.0,False,False,green,armor,,https://pokeapi.co/api/v2/evolution-chain/4/,forest,generation-i
11,metapod,11,4,120,50.0,False,False,False,15.0,False,False,green,squiggle,caterpie,https://pokeapi.co/api/v2/evolution-chain/4/,forest,generation-i
12,butterfree,12,4,45,50.0,False,False,False,15.0,True,False,white,bug-wings,metapod,https://pokeapi.co/api/v2/evolution-chain/4/,forest,generation-i
13,weedle,13,4,255,70.0,False,False,False,15.0,False,False,brown,armor,,https://pokeapi.co/api/v2/evolution-chain/5/,forest,generation-i
14,kakuna,14,4,120,70.0,False,False,False,15.0,False,False,yellow,squiggle,weedle,https://pokeapi.co/api/v2/evolution-chain/5/,forest,generation-i
15,beedrill,15,4,45,70.0,False,False,False,15.0,False,True,yellow,bug-wings,kakuna,https://pokeapi.co/api/v2/evolution-chain/5/,forest,generation-i
16,pidgey,16,4,255,70.0,False,False,False,15.0,False,False,brown,wings,,https://pokeapi.co/api/v2/evolution-chain/6/,forest,generation-i
17,pidgeotto,17,4,120,70.0,False,False,False,15.0,False,False,brown,wings,pidgey,https://pokeapi.co/api/v2/evolution-chain/6/,forest,generation-i
18,pidgeot,18,4,45,70.0,False,False,False,15.0,False,True,brown,wings,pidgeotto,https://pokeapi.co/api/v2/evolution-chain/6/,forest,generation-i
19,rattata,19,4,255,70.0,False,False,False,15.0,True,False,purple,quadruped,,https://pokeapi.co/api/v2/evolution-chain/7/,grassland,generation-i
20,raticate,20,4,127,70.0,False,False,False,15.0,True,False,brown,quadruped,rattata,https://pokeapi.co/api/v2/evolution-chain/7/,grassland,generation-i
21,spearow,21,4,255,70.0,False,False,False,15.0,False,False,brown,wings,,https://pokeapi.co/api/v2/evolution-chain/8/,rough-terrain,generation-i
