species_id,flavor_text,language,version
1,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON.",en,red
1,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON.",en,blue
1,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy.",en,yellow
1,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows.",en,gold
1,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger.",en,silver
1,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow.",en,crystal
1,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger.",en,ruby
1,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger.",en,sapphire
1,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger.",en,emerald
1,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger.",en,firered
1,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON.",en,leafgreen
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,diamond
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,pearl
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,platinum
1,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows.",en,heartgold
1,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger.",en,soulsilver
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,black
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,white
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,black-2
1,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back.",en,white-2
1,"A strange seed was planted on its back at birth.
The plant sprouts and grows with this Pokémon.",en,x
1,"For some time after its birth, it grows by gaining
nourishment from the seed on its back.",en,y
1,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger.",en,omega-ruby
1,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger.",en,alpha-sapphire
1,"It can go for days without eating a single morsel.
In the bulb on its back, it stores energy.",en,lets-go-pikachu
1,"It can go for days without eating a single morsel.
In the bulb on its back, it stores energy.",en,lets-go-eevee
1,"There is a plant seed on its back right from the
day this Pokémon is born. The seed slowly
grows larger.",en,sword
1,"While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow.",en,shield
2,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs.",en,red
2,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs.",en,blue
2,"The bulb on its
back grows by
drawing energy.It gives off an
aroma when it is
ready to bloom.",en,yellow
2,"Exposure to sun­
light adds to its
strength. Sunlightalso makes the bud
on its back grow
larger.",en,gold
2,"If the bud on its
back starts to
smell sweet, itis evidence that
the large flower
will soon bloom.",en,silver
2,"The bulb on its
back grows as it
absorbs nutrients.The bulb gives off
a pleasant aroma
when it blooms.",en,crystal
2,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon.",en,ruby
2,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon.",en,sapphire
2,"To support its bulb, IVYSAUR’s legs
grow sturdy. If it spends more time lying in
the sunlight, the bud will soon bloom into
a large flower.",en,emerald
2,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said
to blossom into a large flower.",en,firered
2,"When the bulb on its back grows large, it
appears to lose the ability to stand on
its hind legs.",en,leafgreen
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,diamond
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,pearl
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,platinum
2,"Exposure to sunlight adds to its
strength. Sunlight also makes the
bud on its back grow larger.",en,heartgold
2,"If the bud on its back starts to
smell sweet, it is evidence that
the large flower will soon bloom.",en,soulsilver
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,black
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,white
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,black-2
2,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom.",en,white-2
2,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said to
blossom into a large flower.",en,x
2,"When the bud on its back starts swelling, a sweet
aroma wafts to indicate the flower’s coming bloom.",en,y
