"unique_id","pokemon_id","name","is_legendary","is_mythical","evolves_from_species","evolution_chain_url","generation"
1,1,"bulbasaur",False,False,"","https://pokeapi.co/api/v2/evolution-chain/1/","generation-i"
2,2,"ivysaur",False,False,"bulbasaur","https://pokeapi.co/api/v2/evolution-chain/1/","generation-i"
3,3,"venusaur",False,False,"ivysaur","https://pokeapi.co/api/v2/evolution-chain/1/","generation-i"
4,4,"charmander",False,False,"","https://pokeapi.co/api/v2/evolution-chain/2/","generation-i"
5,5,"charmeleon",False,False,"charmander","https://pokeapi.co/api/v2/evolution-chain/2/","generation-i"
6,6,"charizard",False,False,"charmeleon","https://pokeapi.co/api/v2/evolution-chain/2/","generation-i"
7,7,"squirtle",False,False,"","https://pokeapi.co/api/v2/evolution-chain/3/","generation-i"
8,8,"wartortle",False,False,"squirtle","https://pokeapi.co/api/v2/evolution-chain/3/","generation-i"
9,9,"blastoise",False,False,"wartortle","https://pokeapi.co/api/v2/evolution-chain/3/","generation-i"
10,10,"caterpie",False,False,"","https://pokeapi.co/api/v2/evolution-chain/4/","generation-i"
11,11,"metapod",False,False,"caterpie","https://pokeapi.co/api/v2/evolution-chain/4/","generation-i"
12,12,"butterfree",False,False,"metapod","https://pokeapi.co/api/v2/evolution-chain/4/","generation-i"
13,13,"weedle",False,False,"","https://pokeapi.co/api/v2/evolution-chain/5/","generation-i"
14,14,"kakuna",False,False,"weedle","https://pokeapi.co/api/v2/evolution-chain/5/","generation-i"
15,15,"beedrill",False,False,"kakuna","https://pokeapi.co/api/v2/evolution-chain/5/","generation-i"
16,16,"pidgey",False,False,"","https://pokeapi.co/api/v2/evolution-chain/6/","generation-i"
17,17,"pidgeotto",False,False,"pidgey","https://pokeapi.co/api/v2/evolution-chain/6/","generation-i"
18,18,"pidgeot",False,False,"pidgeotto","https://pokeapi.co/api/v2/evolution-chain/6/","generation-i"
19,19,"rattata",False,False,"","https://pokeapi.co/api/v2/evolution-chain/7/","generation-i"
20,20,"raticate",False,False,"rattata","https://pokeapi.co/api/v2/evolution-chain/7/","generation-i"
21,21,"spearow",False,False,"","https://pokeapi.co/api/v2/evolution-chain/8/","generation-i"
22,22,"fearow",False,False,"spearow","https://pokeapi.co/api/v2/evolution-chain/8/","generation-i"
23,23,"ekans",False,False,"","https://pokeapi.co/api/v2/evolution-chain/9/","generation-i"
24,24,"arbok",False,False,"ekans","https://pokeapi.co/api/v2/evolution-chain/9/","generation-i"
25,25,"pikachu",False,False,"pichu","https://pokeapi.co/api/v2/evolution-chain/10/","generation-i"
26,26,"raichu",False,False,"pikachu","https://pokeapi.co/api/v2/evolution-chain/10/","generation-i"
27,27,"sandshrew",False,False,"","https://pokeapi.co/api/v2/evolution-chain/11/","generation-i"
28,28,"sandslash",False,False,"sandshrew","https://pokeapi.co/api/v2/evolution-chain/11/","generation-i"
29,29,"nidoran-f",False,False,"","https://pokeapi.co/api/v2/evolution-chain/12/","generation-i"
30,30,"nidorina",False,False,"nidoran-f","https://pokeapi.co/api/v2/evolution-chain/12/","generation-i"
31,31,"nidoqueen",False,False,"nidorina","https://pokeapi.co/api/v2/evolution-chain/12/","generation-i"
32,32,"nidoran-m",False,False,"","https://pokeapi.co/api/v2/evolution-chain/13/","generation-i"
33,33,"nidorino",False,False,"nidoran-m","https://pokeapi.co/api/v2/evolution-chain/13/","generation-i"
34,34,"nidoking",False,False,"nidorino","https://pokeapi.co/api/v2/evolution-chain/13/","generation-i"
35,35,"clefairy",False,False,"cleffa","https://pokeapi.co/api/v2/evolution-chain/14/","generation-i"
36,36,"clefable",False,False,"clefairy","https://pokeapi.co/api/v2/evolution-chain/14/","generation-i"
37,37,"vulpix",False,False,"","https://pokeapi.co/api/v2/evolution-chain/15/","generation-i"
38,38,"ninetales",False,False,"vulpix","https://pokeapi.co/api/v2/evolution-chain/15/","generation-i"
39,39,"jigglypuff",False,False,"igglybuff","https://pokeapi.co/api/v2/evolution-chain/16/","generation-i"
40,40,"wigglytuff",False,False,"jigglypuff","https://pokeapi.co/api/v2/evolution-chain/16/","generation-i"
41,41,"zubat",False,False,"","https://pokeapi.co/api/v2/evolution-chain/17/","generation-i"
42,42,"golbat",False,False,"zubat","https://pokeapi.co/api/v2/evolution-chain/17/","generation-i"
43,43,"oddish",False,False,"","https://pokeapi.co/api/v2/evolution-chain/18/","generation-i"
44,44,"gloom",False,False,"oddish","https://pokeapi.co/api/v2/evolution-chain/18/","generation-i"
45,45,"vileplume",False,False,"gloom","https://pokeapi.co/api/v2/evolution-chain/18/","generation-i"
46,46,"paras",False,False,"","https://pokeapi.co/api/v2/evolution-chain/19/","generation-i"
47,47,"parasect",False,False,"paras","https://pokeapi.co/api/v2/evolution-chain/19/","generation-i"
48,48,"venonat",False,False,"","https://pokeapi.co/api/v2/evolution-chain/20/","generation-i"
