"unique_id","pokemon_id","hp","attack","defense","special_attack","special_defense","speed","total_stats"
1,1,45,49,49,65,65,45,318
2,2,60,62,63,80,80,60,405
3,3,80,82,83,100,100,80,525
4,4,39,52,43,60,50,65,309
5,5,58,64,58,80,65,80,405
6,6,78,84,78,109,85,100,534
7,7,44,48,65,50,64,43,314
8,8,59,63,80,65,80,58,405
9,9,79,83,100,85,105,78,530
10,10,45,30,35,20,20,45,195
11,11,50,20,55,25,25,30,205
12,12,60,45,50,90,80,70,395
13,13,40,35,30,20,20,50,195
14,14,45,25,50,25,25,35,205
15,15,65,90,40,45,80,75,395
16,16,40,45,40,35,35,56,251
17,17,63,60,55,50,50,71,349
18,18,83,80,75,70,70,101,479
19,19,30,56,35,25,35,72,253
20,20,55,81,60,50,70,97,413
21,21,40,60,30,31,31,70,262
22,22,65,90,65,61,61,100,442
23,23,35,60,44,40,54,55,288
24,24,60,95,69,65,79,80,448
25,25,35,55,40,50,50,90,320
26,26,60,90,55,90,80,110,485
27,27,50,75,85,20,30,40,300
28,28,75,100,110,45,55,65,450
29,29,55,47,52,40,40,41,275
30,30,70,62,67,55,55,56,365
31,31,90,92,87,75,85,76,505
32,32,46,57,40,40,40,50,273
33,33,61,72,57,55,55,65,365
34,34,81,102,77,85,75,85,505
35,35,70,45,48,60,65,35,323
36,36,95,70,73,95,90,60,483
37,37,38,41,40,50,65,65,299
38,38,73,76,75,81,100,100,505
39,39,115,45,20,45,25,20,270
40,40,140,70,45,85,50,45,435
41,41,40,45,35,30,40,55,245
42,42,75,80,70,65,75,90,455
43,43,45,50,55,75,65,30,320
44,44,60,65,70,85,75,40,395
45,45,75,80,85,110,90,50,490
46,46,35,70,55,45,55,25,285
47,47,60,95,80,60,80,30,405
48,48,60,55,50,40,55,45,305
49,49,70,65,60,90,75,90,450
50,50,10,55,25,35,45,95,265
51,51,35,100,50,50,70,120,425
52,52,40,45,35,40,40,90,290
53,53,65,70,60,65,65,115,440
54,54,50,52,48,65,50,55,320
55,55,80,82,78,95,80,85,500
56,56,40,80,35,35,45,70,305
57,57,65,105,60,60,70,95,455
58,58,55,70,45,70,50,60,350
59,59,90,110,80,100,80,95,555
60,60,40,50,40,40,40,90,300
61,61,65,65,65,50,50,90,385
62,62,90,95,95,70,90,70,510
63,63,25,20,15,105,55,90,310
64,64,40,35,30,120,70,105,400
65,65,55,50,45,135,95,120,500
66,66,70,80,50,35,35,35,305
67,67,80,100,70,50,60,45,405
68,68,90,130,80,65,85,55,505
69,69,50,75,35,70,30,40,300
70,70,65,90,50,85,45,55,390
71,71,80,105,65,100,70,70,490
72,72,40,40,35,50,100,70,335
73,73,80,70,65,80,120,100,515
74,74,40,80,100,30,30,20,300
75,75,55,95,115,45,45,35,390
76,76,80,120,130,55,65,45,495
77,77,50,85,55,65,65,90,410
78,78,65,100,70,80,80,105,500
79,79,90,65,65,40,40,15,315
80,80,95,75,110,100,80,30,490
81,81,25,35,70,95,55,45,325
82,82,50,60,95,120,70,70,465
83,83,52,90,55,58,62,60,377
84,84,35,85,45,35,35,75,310
85,85,60,110,70,60,60,110,470
86,86,65,45,55,45,70,45,325
87,87,90,70,80,70,95,70,475
88,88,80,80,50,40,50,25,325
89,89,105,105,75,65,100,50,500
90,90,30,65,100,45,25,40,305
91,91,50,95,180,85,45,70,525
92,92,30,35,30,100,35,80,310
93,93,45,50,45,115,55,95,405
94,94,60,65,60,130,75,110,500
95,95,35,45,160,30,45,70,385
96,96,60,48,45,43,90,42,328
97,97,85,73,70,73,115,67,483
98,98,30,105,90,25,25,50,325
99,99,55,130,115,50,50,75,475
100,100,40,30,50,55,55,100,330
101,101,60,50,70,80,80,150,490
102,102,60,40,80,60,45,40,325
103,103,95,95,85,125,75,55,530
104,104,50,50,95,40,50,35,320
105,105,60,80,110,50,80,45,425
106,106,50,120,53,35,110,87,455
107,107,50,105,79,35,110,76,455
108,108,90,55,75,60,75,30,385
109,109,40,65,95,60,45,35,340
110,110,65,90,120,85,70,60,490
111,111,80,85,95,30,30,25,345
112,112,105,130,120,45,45,40,485
113,113,250,5,5,35,105,50,450
114,114,65,55,115,100,40,60,435
115,115,105,95,80,40,80,90,490
116,116,30,40,70,70,25,60,295
117,117,55,65,95,95,45,85,440
118,118,45,67,60,35,50,63,320
119,119,80,92,65,65,80,68,450
120,120,30,45,55,70,55,85,340
121,121,60,75,85,100,85,115,520
122,122,40,45,65,100,120,90,460
123,123,70,110,80,55,80,105,500
124,124,65,50,35,115,95,95,455
125,125,65,83,57,95,85,105,490
126,126,65,95,57,100,85,93,495
127,127,65,125,100,55,70,85,500
128,128,75,100,95,40,70,110,490
129,129,20,10,55,15,20,80,200
130,130,95,125,79,60,100,81,540
131,131,130,85,80,85,95,60,535
132,132,48,48,48,48,48,48,288
133,133,55,55,50,45,65,55,325
134,134,130,65,60,110,95,65,525
135,135,65,65,60,110,95,130,525
136,136,65,130,60,95,110,65,525
137,137,65,60,70,85,75,40,395
138,138,35,40,100,90,55,35,355
139,139,70,60,125,115,70,55,495
140,140,30,80,90,55,45,55,355
141,141,60,115,105,65,70,80,495
142,142,80,105,65,60,75,130,515
143,143,160,110,65,65,110,30,540
144,144,90,85,100,95,125,85,580
145,145,90,90,85,125,90,100,580
146,146,90,100,90,125,85,90,580
147,147,41,64,45,50,50,50,300
148,148,61,84,65,70,70,70,420
149,149,91,134,95,100,100,80,600
150,150,106,110,90,154,90,130,680
151,151,100,100,100,100,100,100,600
152,152,45,49,65,49,65,45,318
153,153,60,62,80,63,80,60,405
154,154,80,82,100,83,100,80,525
155,155,39,52,43,60,50,65,309
156,156,58,64,58,80,65,80,405
157,157,78,84,78,109,85,100,534
158,158,50,65,64,44,48,43,314
159,159,65,80,80,59,63,58,405
160,160,85,105,100,79,83,78,530
161,161,35,46,34,35,45,20,215
162,162,85,76,64,45,55,90,415
163,163,60,30,30,36,56,50,262
164,164,100,50,50,86,96,70,452
165,165,40,20,30,40,80,55,265
166,166,55,35,50,55,110,85,390
167,167,40,60,40,40,40,30,250
168,168,70,90,70,60,70,40,400
169,169,85,90,80,70,80,130,535
170,170,75,38,38,56,56,67,330
171,171,125,58,58,76,76,67,460
172,172,20,40,15,35,35,60,205
173,173,50,25,28,45,55,15,218
174,174,90,30,15,40,20,15,210
175,175,35,20,65,40,65,20,245
176,176,55,40,85,80,105,40,405
177,177,40,50,45,70,45,70,320
178,178,65,75,70,95,70,95,470
179,179,55,40,40,65,45,35,280
180,180,70,55,55,80,60,45,365
181,181,90,75,85,115,90,55,510
182,182,75,80,95,90,100,50,490
183,183,70,20,50,20,50,40,250
184,184,100,50,80,60,80,50,420
185,185,70,100,115,30,65,30,410
186,186,90,75,75,90,100,70,500
187,187,35,35,40,35,55,50,250
188,188,55,45,50,45,65,80,340
189,189,75,55,70,55,95,110,460
190,190,55,70,55,40,55,85,360
191,191,30,30,30,30,30,30,180
192,192,75,75,55,105,85,30,425
193,193,65,65,45,75,45,95,390
194,194,55,45,45,25,25,15,210
195,195,95,85,85,65,65,35,430
196,196,65,65,60,130,95,110,525
197,197,95,65,110,60,130,65,525
198,198,60,85,42,85,42,91,405
199,199,95,75,80,100,110,30,490
200,200,60,60,60,85,85,85,435
201,201,48,72,48,72,48,48,336
202,202,190,33,58,33,58,33,405
203,203,70,80,65,90,65,85,455
204,204,50,65,90,35,35,15,290
205,205,75,90,140,60,60,40,465
206,206,100,70,70,65,65,45,415
207,207,65,75,105,35,65,85,430
208,208,75,85,200,55,65,30,510
209,209,60,80,50,40,40,30,300
210,210,90,120,75,60,60,45,450
211,211,65,95,85,55,55,85,440
212,212,70,130,100,55,80,65,500
213,213,20,10,230,10,230,5,505
214,214,80,125,75,40,95,85,500
215,215,55,95,55,35,75,115,430
216,216,60,80,50,50,50,40,330
217,217,90,130,75,75,75,55,500
218,218,40,40,40,70,40,20,250
219,219,60,50,120,90,80,30,430
220,220,50,50,40,30,30,50,250
221,221,100,100,80,60,60,50,450
222,222,65,55,95,65,95,35,410
223,223,35,65,35,65,35,65,300
224,224,75,105,75,105,75,45,480
225,225,45,55,45,65,45,75,330
226,226,85,40,70,80,140,70,485
227,227,65,80,140,40,70,70,465
228,228,45,60,30,80,50,65,330
229,229,75,90,50,110,80,95,500
230,230,75,95,95,95,95,85,540
231,231,90,60,60,40,40,40,330
232,232,90,120,120,60,60,50,500
233,233,85,80,90,105,95,60,515
234,234,73,95,62,85,65,85,465
235,235,55,20,35,20,45,75,250
236,236,35,35,35,35,35,35,210
237,237,50,95,95,35,110,70,455
238,238,45,30,15,85,65,65,305
239,239,45,63,37,65,55,95,360
240,240,45,75,37,70,55,83,365
241,241,95,80,105,40,70,100,490
242,242,255,10,10,75,135,55,540
243,243,90,85,75,115,100,115,580
244,244,115,115,85,90,75,100,580
245,245,100,75,115,90,115,85,580
246,246,50,64,50,45,50,41,300
247,247,70,84,70,65,70,51,410
248,248,100,134,110,95,100,61,600
249,249,106,90,130,90,154,110,680
250,250,106,130,90,110,154,90,680
251,251,100,100,100,100,100,100,600
252,252,40,45,35,65,55,70,310
253,253,50,65,45,85,65,95,405
254,254,70,85,65,105,85,120,530
255,255,45,60,40,70,50,45,310
256,256,60,85,60,85,60,55,405
257,257,80,120,70,110,70,80,530
258,258,50,70,50,50,50,40,310
259,259,70,85,70,60,70,50,405
260,260,100,110,90,85,90,60,535
261,261,35,55,35,30,30,35,220
262,262,70,90,70,60,60,70,420
263,263,38,30,41,30,41,60,240
264,264,78,70,61,50,61,100,420
265,265,45,45,35,20,30,20,195
266,266,50,35,55,25,25,15,205
267,267,60,70,50,100,50,65,395
268,268,50,35,55,25,25,15,205
269,269,60,50,70,50,90,65,385
270,270,40,30,30,40,50,30,220
271,271,60,50,50,60,70,50,340
272,272,80,70,70,90,100,70,480
273,273,40,40,50,30,30,30,220
274,274,70,70,40,60,40,60,340
275,275,90,100,60,90,60,80,480
276,276,40,55,30,30,30,85,270
277,277,60,85,60,75,50,125,455
278,278,40,30,30,55,30,85,270
279,279,60,50,100,95,70,65,440
280,280,28,25,25,45,35,40,198
281,281,38,35,35,65,55,50,278
282,282,68,65,65,125,115,80,518
283,283,40,30,32,50,52,65,269
284,284,70,60,62,100,82,80,454
285,285,60,40,60,40,60,35,295
286,286,60,130,80,60,60,70,460
287,287,60,60,60,35,35,30,280
288,288,80,80,80,55,55,90,440
289,289,150,160,100,95,65,100,670
290,290,31,45,90,30,30,40,266
291,291,61,90,45,50,50,160,456
292,292,1,90,45,30,30,40,236
293,293,64,51,23,51,23,28,240
294,294,84,71,43,71,43,48,360
295,295,104,91,63,91,73,68,490
296,296,72,60,30,20,30,25,237
297,297,144,120,60,40,60,50,474
298,298,50,20,40,20,40,20,190
299,299,30,45,135,45,90,30,375
300,300,50,45,45,35,35,50,260
301,301,70,65,65,55,55,90,400
302,302,50,75,75,65,65,50,380
303,303,50,85,85,55,55,50,380
304,304,50,70,100,40,40,30,330
305,305,60,90,140,50,50,40,430
306,306,70,110,180,60,60,50,530
307,307,30,40,55,40,55,60,280
308,308,60,60,75,60,75,80,410
309,309,40,45,40,65,40,65,295
310,310,70,75,60,105,60,105,475
311,311,60,50,40,85,75,95,405
312,312,60,40,50,75,85,95,405
313,313,65,73,75,47,85,85,430
314,314,65,47,75,73,85,85,430
315,315,50,60,45,100,80,65,400
316,316,70,43,53,43,53,40,302
317,317,100,73,83,73,83,55,467
318,318,45,90,20,65,20,65,305
319,319,70,120,40,95,40,95,460
320,320,130,70,35,70,35,60,400
321,321,170,90,45,90,45,60,500
322,322,60,60,40,65,45,35,305
323,323,70,100,70,105,75,40,460
324,324,70,85,140,85,70,20,470
325,325,60,25,35,70,80,60,330
326,326,80,45,65,90,110,80,470
327,327,60,60,60,60,60,60,360
328,328,45,100,45,45,45,10,290
329,329,50,70,50,50,50,70,340
330,330,80,100,80,80,80,100,520
331,331,50,85,40,85,40,35,335
332,332,70,115,60,115,60,55,475
333,333,45,40,60,40,75,50,310
334,334,75,70,90,70,105,80,490
335,335,73,115,60,60,60,90,458
336,336,73,100,60,100,60,65,458
337,337,90,55,65,95,85,70,460
338,338,90,95,85,55,65,70,460
339,339,50,48,43,46,41,60,288
340,340,110,78,73,76,71,60,468
341,341,43,80,65,50,35,35,308
342,342,63,120,85,90,55,55,468
343,343,40,40,55,40,70,55,300
344,344,60,70,105,70,120,75,500
345,345,66,41,77,61,87,23,355
346,346,86,81,97,81,107,43,495
347,347,45,95,50,40,50,75,355
348,348,75,125,100,70,80,45,495
349,349,20,15,20,10,55,80,200
350,350,95,60,79,100,125,81,540
351,351,70,70,70,70,70,70,420
352,352,60,90,70,60,120,40,440
353,353,44,75,35,63,33,45,295
354,354,64,115,65,83,63,65,455
355,355,20,40,90,30,90,25,295
356,356,40,70,130,60,130,25,455
357,357,99,68,83,72,87,51,460
358,358,75,50,80,95,90,65,455
359,359,65,130,60,75,60,75,465
360,360,95,23,48,23,48,23,260
361,361,50,50,50,50,50,50,300
362,362,80,80,80,80,80,80,480
363,363,70,40,50,55,50,25,290
364,364,90,60,70,75,70,45,410
365,365,110,80,90,95,90,65,530
366,366,35,64,85,74,55,32,345
367,367,55,104,105,94,75,52,485
368,368,55,84,105,114,75,52,485
369,369,100,90,130,45,65,55,485
370,370,43,30,55,40,65,97,330
371,371,45,75,60,40,30,50,300
372,372,65,95,100,60,50,50,420
373,373,95,135,80,110,80,100,600
374,374,40,55,80,35,60,30,300
375,375,60,75,100,55,80,50,420
376,376,80,135,130,95,90,70,600
377,377,80,100,200,50,100,50,580
378,378,80,50,100,100,200,50,580
379,379,80,75,150,75,150,50,580
380,380,80,80,90,110,130,110,600
381,381,80,90,80,130,110,110,600
382,382,100,100,90,150,140,90,670
383,383,100,150,140,100,90,90,670
384,384,105,150,90,150,90,95,680
385,385,100,100,100,100,100,100,600
386,386,50,150,50,150,50,150,600
387,387,55,68,64,45,55,31,318
388,388,75,89,85,55,65,36,405
389,389,95,109,105,75,85,56,525
390,390,44,58,44,58,44,61,309
391,391,64,78,52,78,52,81,405
